frame	1/gravity/z	1/gravity/y	1/gravity/x	/actuator/inflate	
1	5.248402	8.156474	-1.4479628	0.0	
2	5.248402	8.156474	-1.4479628	0.0	
3	5.248402	8.156474	-1.4479628	0.0	
4	5.171775	8.245909	-1.1950366	0.0	
5	5.171775	8.245909	-1.1950366	0.0	
6	5.171775	8.245909	-1.1950366	0.0	
7	5.171775	8.245909	-1.1950366	0.0	
8	5.171775	8.245909	-1.1950366	0.0	
9	5.171775	8.245909	-1.1950366	0.0	
10	5.171775	8.245909	-1.1950366	0.0	
11	5.171775	8.245909	-1.1950366	0.0	
12	5.171775	8.245909	-1.1950366	0.0	
13	5.171775	8.245909	-1.1950366	0.0	
14	5.171775	8.245909	-1.1950366	0.0	
15	5.171775	8.245909	-1.1950366	0.0	
16	5.171775	8.245909	-1.1950366	0.0	
17	5.171775	8.245909	-1.1950366	0.0	
18	5.171775	8.245909	-1.1950366	0.0	
19	5.171775	8.245909	-1.1950366	0.0	
20	5.171775	8.245909	-1.1950366	0.0	
21	5.171775	8.245909	-1.1950366	0.0	
22	5.171775	8.245909	-1.1950366	0.0	
23	5.60782	8.009472	-0.75570756	0.0	
24	5.60782	8.009472	-0.75570756	0.0	
25	5.60782	8.009472	-0.75570756	0.0	
26	5.60782	8.009472	-0.75570756	0.0	
27	5.60782	8.009472	-0.75570756	0.0	
28	5.60782	8.009472	-0.75570756	0.0	
29	5.60782	8.009472	-0.75570756	0.0	
30	5.60782	8.009472	-0.75570756	0.0	
31	5.60782	8.009472	-0.75570756	0.0	
32	5.60782	8.009472	-0.75570756	0.0	
33	5.60782	8.009472	-0.75570756	0.0	
34	5.60782	8.009472	-0.75570756	0.0	
35	6.045239	7.71968	-0.1789649	0.0	
36	6.045239	7.71968	-0.1789649	0.0	
37	6.045239	7.71968	-0.1789649	0.0	
38	6.045239	7.71968	-0.1789649	0.0	
39	6.045239	7.71968	-0.1789649	0.0	
40	6.045239	7.71968	-0.1789649	0.0	
41	6.045239	7.71968	-0.1789649	0.0	
42	6.045239	7.71968	-0.1789649	0.0	
43	6.045239	7.71968	-0.1789649	0.0	
44	6.045239	7.71968	-0.1789649	0.0	
45	6.045239	7.71968	-0.1789649	0.0	
46	6.045239	7.71968	-0.1789649	0.0	
47	6.554472	7.2934036	0.12469511	0.0	
48	6.554472	7.2934036	0.12469511	0.0	
49	6.554472	7.2934036	0.12469511	0.0	
50	6.554472	7.2934036	0.12469511	0.0	
51	6.554472	7.2934036	0.12469511	0.0	
52	6.554472	7.2934036	0.12469511	0.0	
53	6.554472	7.2934036	0.12469511	0.0	
54	6.865691	7.0003743	0.16561939	0.0	
55	6.865691	7.0003743	0.16561939	0.0	
56	6.865691	7.0003743	0.16561939	0.0	
57	6.865691	7.0003743	0.16561939	0.0	
58	6.865691	7.0003743	0.16561939	0.0	
59	6.865691	7.0003743	0.16561939	0.0	
60	6.865691	7.0003743	0.16561939	0.0	
61	6.865691	7.0003743	0.16561939	0.0	
62	6.865691	7.0003743	0.16561939	0.0	
63	6.865691	7.0003743	0.16561939	0.0	
64	6.865691	7.0003743	0.16561939	0.0	
65	6.865691	7.0003743	0.16561939	0.0	
66	7.1034026	6.76099	-0.032701664	0.0	
67	7.1034026	6.76099	-0.032701664	0.0	
68	7.1034026	6.76099	-0.032701664	0.0	
69	7.1034026	6.76099	-0.032701664	0.0	
70	7.1034026	6.76099	-0.032701664	0.0	
71	7.1034026	6.76099	-0.032701664	0.0	
72	8.107167	5.4885106	0.5661095	0.0	
73	8.107167	5.4885106	0.5661095	0.0	
74	8.107167	5.4885106	0.5661095	0.0	
75	8.107167	5.4885106	0.5661095	0.0	
76	8.107167	5.4885106	0.5661095	0.0	
77	8.107167	5.4885106	0.5661095	0.0	
78	8.107167	5.4885106	0.5661095	0.0	
79	8.107167	5.4885106	0.5661095	0.0	
80	8.107167	5.4885106	0.5661095	0.0	
81	8.107167	5.4885106	0.5661095	0.0	
82	8.107167	5.4885106	0.5661095	0.0	
83	8.107167	5.4885106	0.5661095	0.0	
84	8.923481	4.0633526	-0.17618641	0.0	
85	8.923481	4.0633526	-0.17618641	0.0	
86	8.923481	4.0633526	-0.17618641	0.0	
87	8.923481	4.0633526	-0.17618641	0.0	
88	8.923481	4.0633526	-0.17618641	0.0	
89	8.923481	4.0633526	-0.17618641	0.0	
90	8.923481	4.0633526	-0.17618641	0.0	
91	8.923481	4.0633526	-0.17618641	0.0	
92	8.923481	4.0633526	-0.17618641	0.0	
93	8.923481	4.0633526	-0.17618641	0.0	
94	8.923481	4.0633526	-0.17618641	0.0	
95	8.923481	4.0633526	-0.17618641	0.0	
96	8.923481	4.0633526	-0.17618641	0.0	
97	9.330604	2.8650682	-0.9495301	0.0	
98	9.330604	2.8650682	-0.9495301	0.0	
99	9.330604	2.8650682	-0.9495301	0.0	
100	9.330604	2.8650682	-0.9495301	0.0	
101	9.330604	2.8650682	-0.9495301	0.0	
102	9.330604	2.8650682	-0.9495301	0.0	
103	9.500964	1.3901064	-1.9924055	0.0	
104	9.500964	1.3901064	-1.9924055	0.0	
105	9.500964	1.3901064	-1.9924055	0.0	
106	9.500964	1.3901064	-1.9924055	0.0	
107	9.500964	1.3901064	-1.9924055	0.0	
108	9.500964	1.3901064	-1.9924055	0.0	
109	9.500964	1.3901064	-1.9924055	0.0	
110	9.500964	1.3901064	-1.9924055	0.0	
111	9.500964	1.3901064	-1.9924055	0.0	
112	9.500964	1.3901064	-1.9924055	0.0	
113	9.500964	1.3901064	-1.9924055	0.0	
114	9.500964	1.3901064	-1.9924055	0.0	
115	9.360351	1.3362709	-2.6016564	0.0	
116	9.360351	1.3362709	-2.6016564	0.0	
117	9.360351	1.3362709	-2.6016564	0.0	
118	9.360351	1.3362709	-2.6016564	0.0	
119	9.360351	1.3362709	-2.6016564	0.0	
120	9.360351	1.3362709	-2.6016564	0.0	
121	9.360351	1.3362709	-2.6016564	0.0	
122	9.360351	1.3362709	-2.6016564	0.0	
123	9.360351	1.3362709	-2.6016564	0.0	
124	9.360351	1.3362709	-2.6016564	0.0	
125	9.360351	1.3362709	-2.6016564	0.0	
126	9.360351	1.3362709	-2.6016564	0.0	
127	9.394994	0.4413627	-2.7766287	0.0	
128	9.394994	0.4413627	-2.7766287	0.0	
129	9.394994	0.4413627	-2.7766287	0.0	
130	9.394994	0.4413627	-2.7766287	0.0	
131	9.394994	0.4413627	-2.7766287	0.0	
132	9.394994	0.4413627	-2.7766287	0.0	
133	9.394994	0.4413627	-2.7766287	0.0	
134	9.394994	0.4413627	-2.7766287	0.0	
135	9.394994	0.4413627	-2.7766287	0.0	
136	9.394994	0.4413627	-2.7766287	0.0	
137	9.394994	0.4413627	-2.7766287	0.0	
138	9.394994	0.4413627	-2.7766287	0.0	
139	9.290368	0.07472987	-3.1390858	0.0	
140	9.290368	0.07472987	-3.1390858	0.0	
141	9.290368	0.07472987	-3.1390858	0.0	
142	9.290368	0.07472987	-3.1390858	0.0	
143	9.290368	0.07472987	-3.1390858	0.0	
144	9.290368	0.07472987	-3.1390858	0.0	
145	9.290368	0.07472987	-3.1390858	0.0	
146	9.260856	0.2401732	-3.2170253	0.0	
147	9.260856	0.2401732	-3.2170253	0.0	
148	9.260856	0.2401732	-3.2170253	0.0	
149	9.260856	0.2401732	-3.2170253	0.0	
150	9.260856	0.2401732	-3.2170253	0.0	
151	9.260856	0.2401732	-3.2170253	0.0	
152	9.3861	0.2537073	-2.8296907	0.0	
153	9.3861	0.2537073	-2.8296907	0.0	
154	9.3861	0.2537073	-2.8296907	0.0	
155	9.3861	0.2537073	-2.8296907	0.0	
156	9.3861	0.2537073	-2.8296907	0.0	
157	9.3861	0.2537073	-2.8296907	0.0	
158	9.3861	0.2537073	-2.8296907	0.0	
159	9.3861	0.2537073	-2.8296907	0.0	
160	9.3861	0.2537073	-2.8296907	0.0	
