frame	1/gravity/z	1/gravity/y	1/gravity/x	/actuator/heatintensity	/actuator/inflate	
1	8.62743	0.5908714	4.6247935	0.0	0.0	
2	8.62743	0.5908714	4.6247935	0.0	0.0	
3	8.62743	0.5908714	4.6247935	0.0	0.0	
4	8.62743	0.5908714	4.6247935	0.0	0.0	
5	8.62743	0.5908714	4.6247935	0.0	0.0	
6	8.62743	0.5908714	4.6247935	0.0	0.0	
7	8.62743	0.5908714	4.6247935	0.0	0.0	
8	8.628341	0.59126097	4.6230435	0.0	0.0	
9	8.628341	0.59126097	4.6230435	0.0	0.0	
10	8.628341	0.59126097	4.6230435	0.0	0.0	
11	8.628341	0.59126097	4.6230435	0.0	0.0	
12	8.628341	0.59126097	4.6230435	0.0	0.0	
13	8.628341	0.59126097	4.6230435	0.0	0.0	
14	8.628341	0.59126097	4.6230435	0.0	0.0	
15	8.631017	0.58330274	4.6190577	0.0	0.0	
16	8.631017	0.58330274	4.6190577	0.0	0.0	
17	8.631017	0.58330274	4.6190577	0.0	0.0	
18	8.631017	0.58330274	4.6190577	0.0	0.0	
19	8.631017	0.58330274	4.6190577	0.0	0.0	
20	8.631017	0.58330274	4.6190577	0.0	0.0	
21	8.631017	0.58330274	4.6190577	0.0	0.0	
22	8.631017	0.58330274	4.6190577	0.0	0.0	
23	8.631017	0.58330274	4.6190577	0.0	0.0	
24	8.631017	0.58330274	4.6190577	0.0	0.0	
25	8.631017	0.58330274	4.6190577	0.0	0.0	
26	8.631017	0.58330274	4.6190577	0.0	0.0	
27	8.640775	0.57100207	4.6023216	0.0	0.0	
28	8.640775	0.57100207	4.6023216	0.0	0.0	
29	8.640775	0.57100207	4.6023216	0.0	0.0	
30	8.640775	0.57100207	4.6023216	0.0	0.0	
31	8.640775	0.57100207	4.6023216	0.0	0.0	
32	8.640775	0.57100207	4.6023216	0.0	0.0	
33	8.640775	0.57100207	4.6023216	0.0	0.0	
34	8.640775	0.57100207	4.6023216	0.0	0.0	
35	8.640775	0.57100207	4.6023216	0.0	0.0	
36	8.640775	0.57100207	4.6023216	0.0	0.0	
37	8.640775	0.57100207	4.6023216	0.0	0.0	
38	8.640775	0.57100207	4.6023216	0.0	0.0	
39	8.66544	0.58824766	4.5535164	0.0	0.0	
40	8.66544	0.58824766	4.5535164	0.0	0.0	
41	8.66544	0.58824766	4.5535164	0.0	0.0	
42	8.66544	0.58824766	4.5535164	0.0	0.0	
43	8.66544	0.58824766	4.5535164	0.0	0.0	
44	8.66544	0.58824766	4.5535164	0.0	0.0	
45	8.652891	0.60276103	4.5754275	0.0	0.0	
46	8.652891	0.60276103	4.5754275	0.0	0.0	
47	8.652891	0.60276103	4.5754275	0.0	0.0	
48	8.652891	0.60276103	4.5754275	0.0	0.0	
49	8.652891	0.60276103	4.5754275	0.0	0.0	
50	8.652891	0.60276103	4.5754275	0.0	0.0	
51	8.652891	0.60276103	4.5754275	0.0	0.0	
52	8.652891	0.60276103	4.5754275	0.0	0.0	
53	8.652891	0.60276103	4.5754275	0.0	0.0	
54	8.652891	0.60276103	4.5754275	0.0	0.0	
55	8.652891	0.60276103	4.5754275	0.0	0.0	
56	8.652891	0.60276103	4.5754275	0.0	0.0	
57	8.656173	0.60176265	4.569348	0.0	0.0	
58	8.656173	0.60176265	4.569348	0.0	0.0	
59	8.656173	0.60176265	4.569348	0.0	0.0	
60	8.656173	0.60176265	4.569348	0.0	0.0	
61	8.656173	0.60176265	4.569348	0.0	0.0	
62	8.656173	0.60176265	4.569348	0.0	0.0	
63	8.656173	0.60176265	4.569348	0.0	0.0	
64	8.656173	0.60176265	4.569348	0.0	0.0	
65	8.656173	0.60176265	4.569348	0.0	0.0	
66	8.656173	0.60176265	4.569348	0.0	0.0	
67	8.656173	0.60176265	4.569348	0.0	0.0	
68	8.656173	0.60176265	4.569348	0.0	0.0	
69	8.660334	0.59064347	4.5629106	0.0	0.0	
70	8.660334	0.59064347	4.5629106	0.0	0.0	
71	8.660334	0.59064347	4.5629106	0.0	0.0	
72	8.660334	0.59064347	4.5629106	0.0	0.0	
73	8.660334	0.59064347	4.5629106	0.0	0.0	
74	8.660334	0.59064347	4.5629106	0.0	0.0	
75	8.660334	0.59064347	4.5629106	0.0	0.0	
76	8.660334	0.59064347	4.5629106	0.0	0.0	
77	8.660334	0.59064347	4.5629106	0.0	0.0	
78	8.654931	0.5976076	4.5722456	0.0	0.0	
79	8.654931	0.5976076	4.5722456	0.0	0.0	
80	8.654931	0.5976076	4.5722456	0.0	0.0	
81	8.654931	0.5976076	4.5722456	0.0	0.0	
82	8.654931	0.5976076	4.5722456	0.0	0.0	
83	8.654931	0.5976076	4.5722456	0.0	0.0	
84	8.654931	0.5976076	4.5722456	0.0	0.0	
85	8.654931	0.5976076	4.5722456	0.0	0.0	
86	8.654931	0.5976076	4.5722456	0.0	0.0	
87	8.654931	0.5976076	4.5722456	0.0	0.0	
88	8.654931	0.5976076	4.5722456	0.0	0.0	
89	8.654931	0.5976076	4.5722456	0.0	0.0	
90	8.655592	0.6025877	4.57034	0.0	0.0	
91	8.655592	0.6025877	4.57034	0.0	0.0	
92	8.655592	0.6025877	4.57034	0.0	0.0	
93	8.655592	0.6025877	4.57034	0.0	0.0	
94	8.647197	0.6062116	4.5857263	0.0	0.0	
95	8.647197	0.6062116	4.5857263	0.0	0.0	
96	8.647197	0.6062116	4.5857263	0.0	7.974913	
97	8.647197	0.6062116	4.5857263	0.0	8.234976	
98	8.647197	0.6062116	4.5857263	0.0	8.474194	
99	8.647197	0.6062116	4.5857263	0.0	8.713516	
100	8.647197	0.6062116	4.5857263	0.0	8.952216	
101	8.647197	0.6062116	4.5857263	0.0	9.189137	
102	8.647197	0.6062116	4.5857263	0.0	9.4299345	
103	8.647197	0.6062116	4.5857263	0.0	9.667598	
104	8.647197	0.6062116	4.5857263	0.0	9.905195	
105	8.647197	0.6062116	4.5857263	0.0	10.140058	
106	8.647197	0.6062116	4.5857263	0.0	10.381878	
107	8.63388	0.620622	4.6088324	0.0	10.550473	
108	8.63388	0.620622	4.6088324	0.0	10.668469	
109	8.63388	0.620622	4.6088324	0.0	10.668469	
110	8.63388	0.620622	4.6088324	0.0	10.668469	
111	8.63388	0.620622	4.6088324	0.0	10.668469	
112	8.63388	0.620622	4.6088324	0.0	10.668469	
113	8.63388	0.620622	4.6088324	0.0	10.731762	
114	8.63388	0.620622	4.6088324	0.0	10.731762	
115	8.63388	0.620622	4.6088324	0.0	10.731762	
116	8.63388	0.620622	4.6088324	0.0	10.852612	
117	8.63388	0.620622	4.6088324	0.0	10.852612	
118	8.63388	0.620622	4.6088324	0.0	10.852612	
119	8.604714	0.6381898	4.6606855	0.0	11.186284	
120	8.604714	0.6381898	4.6606855	0.0	11.425515	
121	8.604714	0.6381898	4.6606855	0.0	11.902609	
122	8.604714	0.6381898	4.6606855	0.0	11.902609	
123	8.604714	0.6381898	4.6606855	0.0	12.377697	
