frame	1/gravity/z	1/gravity/y	1/gravity/x	/actuator/heatintensity	/actuator/inflate	
1	5.419321	1.0522149	8.105196	0.0	0.0	
2	5.419321	1.0522149	8.105196	0.0	0.0	
3	5.419321	1.0522149	8.105196	0.0	0.0	
4	5.419321	1.0522149	8.105196	0.0	0.0	
5	5.419321	1.0522149	8.105196	0.0	0.0	
6	5.419321	1.0522149	8.105196	0.0	0.0	
7	5.402556	1.0612817	8.105196	0.0	0.0	
8	5.402556	1.0612817	8.105196	0.0	0.0	
9	5.402556	1.0612817	8.105196	0.0	0.0	
10	5.402556	1.0612817	8.105196	0.0	0.0	
11	5.402556	1.0612817	8.105196	0.0	0.0	
12	5.415213	1.0682367	8.105845	0.0	0.0	
13	5.415213	1.0682367	8.105845	0.0	0.0	
14	5.415213	1.0682367	8.105845	0.0	0.0	
15	5.415213	1.0682367	8.105845	0.0	0.0	
16	5.415213	1.0682367	8.105845	0.0	0.0	
17	5.415213	1.0682367	8.105845	0.0	0.0	
18	5.415213	1.0682367	8.105845	0.0	0.0	
19	5.415213	1.0682367	8.105845	0.0	0.0	
20	5.415213	1.0682367	8.105845	0.0	0.0	
21	5.415213	1.0682367	8.105845	0.0	0.0	
22	5.415213	1.0682367	8.105845	0.0	0.0	
23	5.415213	1.0682367	8.105845	0.0	0.0	
24	5.415213	1.0958124	8.11615	0.0	0.0	
25	5.39423	1.0958124	8.11615	0.0	0.0	
26	5.39423	1.0958124	8.11615	0.0	0.0	
27	5.39423	1.0958124	8.11615	0.0	0.0	
28	5.39423	1.0958124	8.11615	0.0	0.0	
29	5.39423	1.0958124	8.11615	0.0	0.0	
30	5.39423	1.0958124	8.11615	0.0	0.0	
31	5.39423	1.0958124	8.11615	0.0	0.0	
32	5.39423	1.0958124	8.11615	0.0	0.0	
33	5.39423	1.0958124	8.11615	0.0	0.0	
34	5.39423	1.0958124	8.11615	0.0	0.0	
35	5.39423	1.0958124	8.11615	0.0	0.0	
36	5.39423	1.0958124	8.11615	0.0	0.0	
37	5.400104	1.0681055	8.115937	0.0	0.0	
38	5.400104	1.0681055	8.115937	0.0	0.0	
39	5.400104	1.0681055	8.115937	0.0	0.0	
40	5.400104	1.0681055	8.115937	0.0	0.0	
41	5.400104	1.0681055	8.115937	0.0	0.0	
42	5.400104	1.0681055	8.115937	0.0	0.0	
43	5.400104	1.0681055	8.115937	0.0	0.0	
44	5.3875513	1.0809953	8.122569	0.0	0.0	
45	5.3875513	1.0809953	8.122569	0.0	0.0	
46	5.3875513	1.0809953	8.122569	0.0	0.0	
47	5.3875513	1.0809953	8.122569	0.0	0.0	
48	5.3875513	1.0809953	8.122569	0.0	0.0	
49	5.3875513	1.0809953	8.122569	0.0	0.0	
50	5.3875513	1.0809953	8.122569	0.0	0.0	
51	5.3875513	1.0809953	8.122569	0.0	0.0	
52	5.3875513	1.0809953	8.122569	0.0	0.0	
53	5.3875513	1.0809953	8.122569	0.0	0.0	
54	5.3875513	1.0809953	8.122569	0.0	0.0	
55	5.3875513	1.0809953	8.122569	0.0	0.0	
56	5.3875513	1.0809953	8.122569	0.0	0.0	
57	5.3663797	1.0659508	8.138557	0.0	0.0	
58	5.3663797	1.0659508	8.138557	0.0	0.0	
59	5.3663797	1.0659508	8.138557	0.0	0.0	
60	5.3663797	1.0659508	8.138557	0.0	0.0	
61	5.3532248	1.0746182	8.146077	0.0	0.0	
62	5.3532248	1.0746182	8.146077	0.0	0.0	
63	5.3532248	1.0746182	8.146077	0.0	0.0	
64	5.3532248	1.0746182	8.146077	0.0	0.0	
65	5.3532248	1.0746182	8.146077	0.0	0.0	
66	5.3532248	1.0746182	8.146077	0.0	0.0	
67	5.3532248	1.0746182	8.146077	0.0	0.0	
68	5.3532248	1.0746182	8.146077	0.0	0.0	
69	5.3532248	1.0746182	8.146077	0.0	0.0	
70	5.3532248	1.0746182	8.146077	0.0	0.0	
71	5.3532248	1.0746182	8.146077	0.0	0.0	
72	5.3532248	1.0746182	8.146077	0.0	7.962486	
73	5.3532248	1.072557	8.145902	0.0	8.082778	
74	5.3539047	1.072557	8.145902	0.0	8.319765	
75	5.3539047	1.072557	8.145902	0.0	8.559114	
76	5.3539047	1.072557	8.145902	0.0	8.798107	
77	5.3539047	1.072557	8.145902	0.0	9.035439	
78	5.3539047	1.072557	8.145902	0.0	9.387195	
79	5.3539047	1.072557	8.145902	0.0	10.206883	
80	5.3539047	1.072557	8.145902	0.0	11.494397	
81	5.3539047	1.072557	8.145902	0.0	12.919319	
82	5.3539047	1.072557	8.145902	0.0	14.79632	
83	5.3539047	1.072557	8.145902	0.0	17.13962	
84	5.3539047	1.072557	8.145902	0.0	19.830427	
85	5.3539047	1.072557	8.145902	0.0	22.570545	
86	5.3252435	1.0910865	8.162212	0.0	25.57709	
87	5.3252435	1.0910865	8.162212	0.0	29.329615	
88	5.3252435	1.0910865	8.162212	0.0	32.81726	
89	5.3252435	1.0910865	8.162212	0.0	36.73796	
90	5.3252435	1.0910865	8.162212	0.0	40.921535	
91	5.3252435	1.0910865	8.162212	0.0	44.98837	
92	5.30559	1.1092534	8.172557	0.0	49.419834	
93	5.30559	1.1092534	8.172557	0.0	53.54327	
94	5.30559	1.1092534	8.172557	0.0	57.53155	
95	5.30559	1.1092534	8.172557	0.0	61.593807	
96	5.30559	1.1092534	8.172557	0.0	65.03731	
97	5.30559	1.1092534	8.172557	0.0	68.65464	
98	5.30559	1.1092534	8.172557	0.0	72.47227	
99	5.30559	1.1092534	8.172557	0.0	75.654396	
100	5.30559	1.1092534	8.172557	0.0	78.93669	
101	5.30559	1.1092534	8.172557	0.0	82.530174	
102	5.30559	1.1092534	8.172557	0.0	85.696465	
103	5.30559	1.1092534	8.172557	0.0	88.66345	
