frame	1/gravity/z	1/gravity/y	1/gravity/x	/actuator/heatintensity	/actuator/inflate	
1	8.26511	0.564974	5.2477756	0.0	0.0	
2	8.26511	0.564974	5.2477756	0.0	0.0	
3	8.26511	0.564974	5.2477756	0.0	0.0	
4	8.26511	0.564974	5.2477756	0.0	0.0	
5	8.26511	0.564974	5.2477756	0.0	0.0	
6	8.26511	0.564974	5.2477756	0.0	0.0	
7	8.26511	0.564974	5.2477756	0.0	0.0	
8	8.26511	0.564974	5.2477756	0.0	0.0	
9	8.26511	0.564974	5.2477756	0.0	0.0	
10	8.26511	0.564974	5.2477756	0.0	0.0	
11	8.26511	0.564974	5.2477756	0.0	0.0	
12	8.26511	0.564974	5.2477756	0.0	0.0	
13	8.26511	0.564974	5.2477756	0.0	0.0	
14	8.26511	0.564974	5.2477756	0.0	0.0	
15	8.26511	0.564974	5.2477756	0.0	0.0	
16	8.26511	0.564974	5.2477756	0.0	0.0	
17	8.26511	0.564974	5.2477756	0.0	0.0	
18	8.26511	0.564974	5.2477756	0.0	0.0	
19	8.26511	0.564974	5.2477756	0.0	0.0	
20	8.26511	0.564974	5.2477756	0.0	0.0	
21	8.26511	0.564974	5.2477756	0.0	0.0	
22	8.26511	0.564974	5.2477756	0.0	0.0	
23	8.26511	0.564974	5.2477756	0.0	0.0	
24	8.26511	0.564974	5.2477756	0.0	0.0	
25	8.26511	0.564974	5.2477756	0.0	0.0	
26	8.26511	0.564974	5.2477756	0.0	0.0	
27	8.26511	0.564974	5.2477756	0.0	0.0	
28	8.26511	0.564974	5.2477756	0.0	0.0	
29	8.26511	0.564974	5.2477756	0.0	0.0	
30	8.26511	0.564974	5.2477756	0.0	0.0	
31	8.26511	0.564974	5.2477756	0.0	0.0	
32	8.26511	0.564974	5.2477756	0.0	0.0	
33	8.26511	0.564974	5.2477756	0.0	0.0	
34	8.26511	0.564974	5.2477756	0.0	0.0	
35	8.26511	0.564974	5.2477756	0.0	0.0	
36	8.26511	0.564974	5.2477756	0.0	0.0	
37	8.26511	0.564974	5.2477756	0.0	0.0	
38	8.26511	0.564974	5.2477756	0.0	0.0	
39	8.26511	0.564974	5.2477756	0.0	0.0	
40	8.26511	0.564974	5.2477756	0.0	0.0	
41	8.26511	0.564974	5.2477756	0.0	0.0	
42	8.26511	0.564974	5.2477756	0.0	0.0	
43	8.26511	0.564974	5.2477756	0.0	0.0	
44	8.26511	0.564974	5.2477756	0.0	0.0	
45	8.26511	0.564974	5.2477756	0.0	0.0	
46	8.26511	0.564974	5.2477756	0.0	0.0	
47	8.26511	0.564974	5.2477756	0.0	0.0	
48	8.26511	0.564974	5.2477756	0.0	0.0	
49	8.26511	0.564974	5.2477756	0.0	0.0	
50	8.26511	0.564974	5.2477756	0.0	0.0	
51	8.26511	0.564974	5.2477756	0.0	0.0	
52	8.26511	0.564974	5.2477756	0.0	0.0	
53	8.26511	0.564974	5.2477756	0.0	0.0	
54	8.26511	0.564974	5.2477756	0.0	0.0	
55	8.26511	0.564974	5.2477756	0.0	0.0	
56	8.26511	0.564974	5.2477756	0.0	0.0	
57	8.26511	0.564974	5.2477756	0.0	0.0	
58	8.26511	0.564974	5.2477756	0.0	0.0	
59	8.26511	0.564974	5.2477756	0.0	0.0	
60	8.26511	0.564974	5.2477756	0.0	0.0	
61	8.26511	0.564974	5.2477756	0.0	0.0	
62	8.26511	0.564974	5.2477756	0.0	0.0	
63	8.26511	0.564974	5.2477756	0.0	0.0	
64	8.26511	0.564974	5.2477756	0.0	0.0	
65	8.26511	0.564974	5.2477756	0.0	0.0	
66	8.26511	0.564974	5.2477756	0.0	0.0	
67	8.26511	0.564974	5.2477756	0.0	0.0	
68	8.26511	0.564974	5.2477756	0.0	0.0	
69	8.26511	0.564974	5.2477756	0.0	0.0	
70	8.26511	0.564974	5.2477756	0.0	0.0	
71	8.26511	0.564974	5.2477756	0.0	0.0	
72	8.26511	0.564974	5.2477756	0.0	0.0	
73	8.26511	0.564974	5.2477756	0.0	0.0	
74	8.26511	0.564974	5.2477756	0.0	0.0	
75	8.26511	0.564974	5.2477756	0.0	0.0	
76	8.26511	0.564974	5.2477756	0.0	0.0	
77	8.26511	0.564974	5.2477756	0.0	0.0	
78	8.26511	0.564974	5.2477756	0.0	0.0	
79	8.26511	0.564974	5.2477756	0.0	0.0	
80	8.26511	0.564974	5.2477756	0.0	0.0	
81	8.26511	0.564974	5.2477756	0.0	0.0	
82	8.26511	0.564974	5.2477756	0.0	0.0	
83	8.26511	0.564974	5.2477756	0.0	0.0	
84	8.26511	0.564974	5.2477756	0.0	0.0	
85	8.26511	0.564974	5.2477756	0.0	0.0	
86	8.26511	0.564974	5.2477756	0.0	0.0	
87	8.26511	0.564974	5.2477756	0.0	0.0	
88	8.26511	0.564974	5.2477756	0.0	0.0	
89	8.26511	0.564974	5.2477756	0.0	0.0	
90	8.26511	0.564974	5.2477756	0.0	0.0	
91	8.26511	0.564974	5.2477756	0.0	0.0	
92	8.26511	0.564974	5.2477756	0.0	0.0	
93	8.26511	0.564974	5.2477756	0.0	0.0	
94	8.26511	0.564974	5.2477756	0.0	8.197998	
95	8.26511	0.564974	5.2477756	0.0	8.197998	
96	8.26511	0.564974	5.2477756	0.0	8.435225	
97	8.26511	0.564974	5.2477756	0.0	8.79103	
98	8.26511	0.564974	5.2477756	0.0	9.265082	
99	8.26511	0.564974	5.2477756	0.0	9.739256	
100	8.26511	0.564974	5.2477756	0.0	10.216177	
101	8.26511	0.564974	5.2477756	0.0	10.69266	
102	8.26511	0.564974	5.2477756	0.0	11.166488	
103	8.26511	0.564974	5.2477756	0.0	11.641962	
104	8.26511	0.564974	5.2477756	0.0	12.116347	
105	8.26511	0.564974	5.2477756	0.0	12.592817	
106	8.26511	0.564974	5.2477756	0.0	12.866011	
107	8.26511	0.564974	5.2477756	0.0	13.225175	
108	8.26511	0.564974	5.2477756	0.0	13.700264	
109	8.26511	0.564974	5.2477756	0.0	13.700264	
110	8.26511	0.564974	5.2477756	0.0	14.597545	
111	8.26511	0.564974	5.2477756	0.0	15.07347	
112	8.26511	0.564974	5.2477756	0.0	15.07347	
113	8.26511	0.564974	5.2477756	0.0	15.550365	
114	8.26511	0.564974	5.2477756	0.0	16.503437	
115	8.26511	0.564974	5.2477756	0.0	16.980028	
116	8.26511	0.564974	5.2477756	0.0	17.452911	
117	8.26511	0.564974	5.2477756	0.0	17.452911	
118	8.26511	0.564974	5.2477756	0.0	18.399637	
119	8.26511	0.564974	5.2477756	0.0	18.399637	
120	8.26511	0.564974	5.2477756	0.0	18.871632	
121	8.26511	0.564974	5.2477756	0.0	19.35538	
122	8.26511	0.564974	5.2477756	0.0	19.83153	
123	8.26511	0.564974	5.2477756	0.0	20.303724	
124	8.26511	0.564974	5.2477756	0.0	20.778374	
125	8.26511	0.564974	5.2477756	0.0	21.732481	
