1/gravity/z	1/gravity/y	1/gravity/x	/actuator/inflate	/actuator/heatintensity	
16614	9.538468	1.6988326	1.5172262	118.7618	115.13781	
16655	9.538468	1.6988326	1.5172262	118.7618	115.13781	
16695	9.538468	1.6988326	1.5172262	118.7618	115.13781	
16735	9.538468	1.6988326	1.5172262	118.7618	115.13781	
16775	9.538468	1.6988326	1.5172262	118.7618	115.13781	
16816	9.538468	1.6988326	1.5172262	118.7618	115.13781	
16855	9.538468	1.6988326	1.5172262	118.7618	115.13781	
16894	9.538468	1.6988326	1.5172262	118.7618	115.13781	
16934	9.538468	1.6988326	1.5172262	118.7618	115.13781	
16976	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17015	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17054	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17095	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17135	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17175	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17214	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17256	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17294	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17334	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17375	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17414	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17454	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17495	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17534	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17574	9.538468	1.6988326	1.5172262	118.7618	115.13781	
17615	9.538468	1.6988326	1.5172262	118.7618	125.32463	
17654	9.538468	1.6988326	1.5172262	126.72373	125.45528	
17695	9.538468	1.6988326	1.5172262	127.68095	126.29163	
17735	9.538468	1.6988326	1.5172262	129.46172	127.59694	
17775	9.538468	1.6988326	1.5172262	132.65167	130.5163	
17815	9.538468	1.6988326	1.5172262	136.36153	134.03455	
17855	9.538468	1.6988326	1.5172262	139.5387	137.06174	
17895	9.538468	1.6988326	1.5172262	145.379	143.07292	
17934	9.538468	1.6988326	1.5172262	150.06107	147.52141	
