1/gravity/z	1/gravity/y	1/gravity/x	
8500	9.538468	1.6988326	1.5172262	
8540	9.538468	1.6988326	1.5172262	
8580	9.538468	1.6988326	1.5172262	
8620	9.538468	1.6988326	1.5172262	
8660	9.538468	1.6988326	1.5172262	
8701	9.538468	1.6988326	1.5172262	
8740	9.538468	1.6988326	1.5172262	
8780	9.538468	1.6988326	1.5172262	
8821	9.538468	1.6988326	1.5172262	
8860	9.538468	1.6988326	1.5172262	
8900	9.538468	1.6988326	1.5172262	
8940	9.538468	1.6988326	1.5172262	
8980	9.538468	1.6988326	1.5172262	
9020	9.538468	1.6988326	1.5172262	
9060	9.538468	1.6988326	1.5172262	
9100	9.538468	1.6988326	1.5172262	
9141	9.538468	1.6988326	1.5172262	
9180	9.538468	1.6988326	1.5172262	
9221	9.538468	1.6988326	1.5172262	
9260	9.538468	1.6988326	1.5172262	
9301	9.538468	1.6988326	1.5172262	
9340	9.538468	1.6988326	1.5172262	
9380	9.538468	1.6988326	1.5172262	
9421	9.538468	1.6988326	1.5172262	
9461	9.538468	1.6988326	1.5172262	
9501	9.538468	1.6988326	1.5172262	
9540	9.538468	1.6988326	1.5172262	
9580	9.538468	1.6988326	1.5172262	
9620	9.538468	1.6988326	1.5172262	
9661	9.538468	1.6988326	1.5172262	
9700	9.538468	1.6988326	1.5172262	
9740	9.538468	1.6988326	1.5172262	
9780	9.538468	1.6988326	1.5172262	
9820	9.538468	1.6988326	1.5172262	
9859	9.538468	1.6988326	1.5172262	
9900	9.538468	1.6988326	1.5172262	
9940	9.538468	1.6988326	1.5172262	
9981	9.538468	1.6988326	1.5172262	
10020	9.538468	1.6988326	1.5172262	
10060	9.538468	1.6988326	1.5172262	
10101	9.538468	1.6988326	1.5172262	
10140	9.538468	1.6988326	1.5172262	
10181	9.538468	1.6988326	1.5172262	
10220	9.538468	1.6988326	1.5172262	
10260	9.538468	1.6988326	1.5172262	
10301	9.538468	1.6988326	1.5172262	
10340	9.538468	1.6988326	1.5172262	
10381	9.538468	1.6988326	1.5172262	
10420	9.538468	1.6988326	1.5172262	
10462	9.538468	1.6988326	1.5172262	
10500	9.538468	1.6988326	1.5172262	
10541	9.538468	1.6988326	1.5172262	
10581	9.538468	1.6988326	1.5172262	
10632	9.538468	1.6988326	1.5172262	
10661	9.538468	1.6988326	1.5172262	
10700	9.538468	1.6988326	1.5172262	
10741	9.538468	1.6988326	1.5172262	
10781	9.538468	1.6988326	1.5172262	
10820	9.538468	1.6988326	1.5172262	
10861	9.538468	1.6988326	1.5172262	
10901	9.538468	1.6988326	1.5172262	
10940	9.538468	1.6988326	1.5172262	
10980	9.538468	1.6988326	1.5172262	
11021	9.538468	1.6988326	1.5172262	
11061	9.538468	1.6988326	1.5172262	
11100	9.538468	1.6988326	1.5172262	
11141	9.538468	1.6988326	1.5172262	
11180	9.538468	1.6988326	1.5172262	
11242	9.538468	1.6988326	1.5172262	
11260	9.538468	1.6988326	1.5172262	
11300	9.538468	1.6988326	1.5172262	
11340	9.538468	1.6988326	1.5172262	
11381	9.538468	1.6988326	1.5172262	
11420	9.538468	1.6988326	1.5172262	
11460	9.538468	1.6988326	1.5172262	
11500	9.538468	1.6988326	1.5172262	
11540	9.538468	1.6988326	1.5172262	
11581	9.538468	1.6988326	1.5172262	
11621	9.538468	1.6988326	1.5172262	
11660	9.538468	1.6988326	1.5172262	
11701	9.538468	1.6988326	1.5172262	
11740	9.538468	1.6988326	1.5172262	
11780	9.538468	1.6988326	1.5172262	
11841	9.538468	1.6988326	1.5172262	
11860	9.538468	1.6988326	1.5172262	
11900	9.538468	1.6988326	1.5172262	
11940	9.538468	1.6988326	1.5172262	
11980	9.538468	1.6988326	1.5172262	
12020	9.538468	1.6988326	1.5172262	
12061	9.538468	1.6988326	1.5172262	
12100	9.538468	1.6988326	1.5172262	
12141	9.538468	1.6988326	1.5172262	
12180	9.538468	1.6988326	1.5172262	
12220	9.538468	1.6988326	1.5172262	
12261	9.538468	1.6988326	1.5172262	
12301	9.538468	1.6988326	1.5172262	
12341	9.538468	1.6988326	1.5172262	
12380	9.538468	1.6988326	1.5172262	
12421	9.538468	1.6988326	1.5172262	
12461	9.538468	1.6988326	1.5172262	
12501	9.538468	1.6988326	1.5172262	
12540	9.538468	1.6988326	1.5172262	
12581	9.538468	1.6988326	1.5172262	
12621	9.538468	1.6988326	1.5172262	
12661	9.538468	1.6988326	1.5172262	
12700	9.538468	1.6988326	1.5172262	
12740	9.538468	1.6988326	1.5172262	
12781	9.538468	1.6988326	1.5172262	
12821	9.538468	1.6988326	1.5172262	
12860	9.538468	1.6988326	1.5172262	
12901	9.538468	1.6988326	1.5172262	
12941	9.538468	1.6988326	1.5172262	
12981	9.538468	1.6988326	1.5172262	
13020	9.538468	1.6988326	1.5172262	
13061	9.538468	1.6988326	1.5172262	
13100	9.538468	1.6988326	1.5172262	
13140	9.538468	1.6988326	1.5172262	
13181	9.538468	1.6988326	1.5172262	
13221	9.538468	1.6988326	1.5172262	
13261	9.538468	1.6988326	1.5172262	
13300	9.538468	1.6988326	1.5172262	
13341	9.538468	1.6988326	1.5172262	
13381	9.538468	1.6988326	1.5172262	
13420	9.538468	1.6988326	1.5172262	
13461	9.538468	1.6988326	1.5172262	
13500	9.538468	1.6988326	1.5172262	
13540	9.538468	1.6988326	1.5172262	
13581	9.538468	1.6988326	1.5172262	
13620	9.538468	1.6988326	1.5172262	
13660	9.538468	1.6988326	1.5172262	
13700	9.538468	1.6988326	1.5172262	
13740	9.538468	1.6988326	1.5172262	
13780	9.538468	1.6988326	1.5172262	
13821	9.538468	1.6988326	1.5172262	
13861	9.538468	1.6988326	1.5172262	
13902	9.538468	1.6988326	1.5172262	
13940	9.538468	1.6988326	1.5172262	
13981	9.538468	1.6988326	1.5172262	
14022	9.538468	1.6988326	1.5172262	
14060	9.538468	1.6988326	1.5172262	
14101	9.538468	1.6988326	1.5172262	
14141	9.538468	1.6988326	1.5172262	
14182	9.538468	1.6988326	1.5172262	
14220	9.538468	1.6988326	1.5172262	
14261	9.538468	1.6988326	1.5172262	
14301	9.538468	1.6988326	1.5172262	
